id_paciente,nome,cpf,data_nascimento,carteira_sus,fk_endereco,fk_upa
1,"Ana Souza",22813945182,2015-05-12,123456789012345,1,1
2,"Bruno Oliveira",93526748006,2017-08-23,234567890123456,2,1
3,"Carlos Pereira",30659423739,2012-11-30,345678901234567,3,2
4,"Daniela Lima",15362784900,2016-03-14,456789012345678,4,3
5,"Eduardo Santos",96283104517,2014-07-21,567890123456789,5,4
6,"Fernanda Almeida",21794638081,2010-12-09,678901234567890,6,5
7,"Gabriel Martins",38974526039,2008-06-25,789012345678901,7,6
8,"Helena Castro",64581093761,2009-09-17,890123456789012,8,7
9,"Igor Mendes",81034952708,2007-04-08,901234567890123,9,8
10,"Juliana Costa",43768291084,2009-01-19,012345678901234,10,9
11,"Karen Dias",21905847350,1999-02-28,111111111111111,11,10
12,"Lucas Fernandes",98637451239,1997-10-05,222222222222222,12,11
13,"Mariana Rocha",13428679054,1990-07-15,333333333333333,13,12
14,"Nicolas Ribeiro",30498217609,1996-12-03,444444444444444,14,13
15,"Olivia Teixeira",54872319605,1988-06-07,555555555555555,15,14
16,"Paulo Henrique",72351984067,1992-03-22,666666666666666,16,15
17,"Quésia Silva",80136245798,2001-11-11,777777777777777,17,16
18,"Rafael Nunes",26984130756,1995-08-14,888888888888888,18,17
19,"Sabrina Lopes",49238675120,1998-09-27,999999999999999,19,18
20,"Thiago Batista",65973281490,1970-05-06,101010101010101,20,19
21,"Ursula Ferreira",73824065192,1980-04-18,121212121212121,21,20
22,"Vinícius Duarte",18402739563,1978-02-14,131313131313131,22,21
23,"Wellington Prado",35967284130,1969-07-09,141414141414141,23,22
24,"Xuxa Menezes",49068273154,1975-01-29,151515151515151,24,23
25,"Yago Santos",57193082647,1982-06-13,161616161616161,25,24
26,"Zuleica Moreira",61289374052,1955-10-10,171717171717171,26,25
27,"Arthur Monteiro",98012647358,1948-03-31,181818181818181,27,1
28,"Beatriz Campos",27369041587,1959-08-26,191919191919191,28,2
29,"Caio Barreto",74168052901,1952-12-21,202020202020202,29,3
30,"Amanda Ribeiro",83946275108,1991-04-15,300000000000001,30,1
31,"Bruno Costa",76298415320,1989-11-02,300000000000002,31,1
32,"Camila Silva",10475893642,1995-06-10,300000000000003,32,1
